2025-09-09T15:23:57.579+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] s.w.s.m.m.a.RequestMappingHandlerMapping : 5 mappings in 'requestMappingHandlerMapping'
2025-09-09T15:23:57.678+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
2025-09-09T15:23:57.895+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] s.w.s.m.m.a.RequestMappingHandlerAdapter : ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
2025-09-09T15:23:57.995+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] .m.m.a.ExceptionHandlerExceptionResolver : ControllerAdvice beans: 0 @ExceptionHandler, 1 ResponseBodyAdvice
2025-09-09T15:24:00.698+05:30  WARN 14708 --- [spring-cloud-UI-webapp] [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-09-09T15:24:01.168+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/
2025-09-09T15:24:01.281+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:24:01.371+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:24:01.425+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [main] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-09-09T15:24:01.477+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-InstanceInfoReplicator-%d] o.s.web.client.RestTemplate              : HTTP POST http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP
2025-09-09T15:24:01.484+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-InstanceInfoReplicator-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:24:01.511+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-InstanceInfoReplicator-%d] o.s.web.client.RestTemplate              : Writing [InstanceInfo [instanceId = localhost:spring-cloud-UI-webapp:80, appName = SPRING-CLOUD-UI-WEBAPP, hostName = localhost, status = UP, ipAddr = 192.168.56.1, port = 80, securePort = 443, dataCenterInfo = com.netflix.appinfo.MyDataCenterInfo@64f193bb] as "application/json"
2025-09-09T15:24:01.557+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-InstanceInfoReplicator-%d] o.s.web.client.RestTemplate              : Response 204 NO_CONTENT
2025-09-09T15:24:16.411+05:30  INFO 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-09-09T15:24:16.412+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Detected StandardServletMultipartResolver
2025-09-09T15:24:16.413+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Detected AcceptHeaderLocaleResolver
2025-09-09T15:24:16.413+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Detected FixedThemeResolver
2025-09-09T15:24:16.415+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Detected org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator@5d668b01
2025-09-09T15:24:16.418+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Detected org.springframework.web.servlet.support.SessionFlashMapManager@31d2cce6
2025-09-09T15:24:16.419+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
2025-09-09T15:24:16.420+05:30  INFO 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 8 ms
2025-09-09T15:24:16.442+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : GET "/users/list", parameters={}
2025-09-09T15:24:16.459+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.sl.UIUserController#allUsers(Model)
2025-09-09T15:24:16.487+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.client.RestTemplate              : HTTP GET http://spring-boot-user-microservice/users
2025-09-09T15:24:16.491+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:24:16.867+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:24:16.870+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.client.RestTemplate              : Reading to [com.sl.dto.UserResponse[]]
2025-09-09T15:24:16.881+05:30  WARN 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] com.sl.UIUserController                  : warn userResponses count is 5
2025-09-09T15:24:16.886+05:30 ERROR 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] com.sl.UIUserController                  : error userResponses count is 5
2025-09-09T15:24:16.912+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.w.s.v.ContentNegotiatingViewResolver : Selected 'text/html' given [text/html, application/xhtml+xml, image/avif, image/webp, image/apng, application/xml;q=0.9, */*;q=0.8, application/signed-exchange;v=b3;q=0.7]
2025-09-09T15:24:16.913+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.view.JstlView            : View name [users], model {userResponses=[Lcom.sl.dto.UserResponse;@17138c7e}
2025-09-09T15:24:16.929+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.view.JstlView            : Forwarding to [/WEB-INF/views/users.jsp]
2025-09-09T15:24:18.552+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [http-nio-80-exec-1] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2025-09-09T15:24:31.476+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2025-09-09T15:24:31.478+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP/localhost:spring-cloud-UI-webapp:80?status=UP&lastDirtyTimestamp=1757411641468
2025-09-09T15:24:31.478+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:24:31.487+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:24:31.492+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-09-09T15:24:31.493+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:24:31.505+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:25:01.513+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2025-09-09T15:25:01.514+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP/localhost:spring-cloud-UI-webapp:80?status=UP&lastDirtyTimestamp=1757411641468
2025-09-09T15:25:01.517+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:25:01.515+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:25:01.525+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:25:01.531+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:25:01.532+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-09-09T15:25:31.535+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP/localhost:spring-cloud-UI-webapp:80?status=UP&lastDirtyTimestamp=1757411641468
2025-09-09T15:25:31.537+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:25:31.541+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:25:31.542+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2025-09-09T15:25:31.543+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:25:31.547+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:25:31.548+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-09-09T15:26:01.555+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2025-09-09T15:26:01.556+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP/localhost:spring-cloud-UI-webapp:80?status=UP&lastDirtyTimestamp=1757411641468
2025-09-09T15:26:01.557+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:26:01.557+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:26:01.563+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:26:01.564+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-09-09T15:26:01.565+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:26:31.576+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2025-09-09T15:26:31.576+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP/localhost:spring-cloud-UI-webapp:80?status=UP&lastDirtyTimestamp=1757411641468
2025-09-09T15:26:31.579+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:26:31.579+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:26:31.586+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:26:31.592+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:26:31.594+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-09-09T15:27:01.604+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2025-09-09T15:27:01.604+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP/localhost:spring-cloud-UI-webapp:80?status=UP&lastDirtyTimestamp=1757411641468
2025-09-09T15:27:01.605+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:27:01.606+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-09-09T15:27:01.610+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:27:01.610+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : Response 200 OK
2025-09-09T15:27:01.611+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-09-09T15:27:31.623+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2025-09-09T15:27:31.624+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-HeartbeatExecutor-%d] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/SPRING-CLOUD-UI-WEBAPP/localhost:spring-cloud-UI-webapp:80?status=UP&lastDirtyTimestamp=1757411641468
2025-09-09T15:27:31.625+05:30 DEBUG 14708 --- [spring-cloud-UI-webapp] [DiscoveryClient-CacheRefreshExecutor-%d] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
